problem,old_ms,new_ms,ratio,status,bucket,rayon,i128,u128,hashmap,pow_mod,already,next,confidence
85,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
86,10,7,1.43,OK,fast_no_action,False,False,False,False,False,,,
87,43,12,3.58,OK,fast_no_action,False,False,False,False,False,,,
88,4,2,2.0,OK,fast_no_action,False,False,False,False,False,,,
89,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
90,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
91,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
92,63,50,1.26,OK,fast_no_action,False,False,False,False,False,,,
93,25,19,1.32,OK,fast_no_action,False,False,False,False,False,,,
94,1,1,1.0,OK,fast_no_action,False,False,False,False,False,,,
95,126,81,1.56,OK,fast_no_action,False,False,False,False,False,,,
96,87,39,2.23,OK,fast_no_action,False,False,False,False,False,,,
97,1,1,1.0,OK,fast_no_action,False,False,True,False,True,,,
98,44,25,1.76,OK,fast_no_action,False,False,False,True,False,,,
99,2,1,2.0,OK,fast_no_action,False,False,False,False,False,,,
100,0,1,,OK,fast_no_action,False,False,False,False,False,,,
101,0,1,,OK,fast_no_action,False,False,False,False,False,,,
102,0,1,,OK,fast_no_action,False,False,False,False,False,,,
103,0,1,,OK,fast_no_action,False,False,False,False,False,,,
104,0,5,,OK,fast_no_action,False,False,False,False,False,,,
105,0,12,,OK,fast_no_action,False,False,False,False,False,,,
106,0,1,,OK,fast_no_action,False,False,False,False,False,,,
107,0,1,,OK,fast_no_action,False,False,False,False,False,,,
108,0,1,,OK,fast_no_action,False,False,False,False,False,,,
109,0,1,,OK,fast_no_action,False,False,False,False,False,,,
110,0,1,,OK,fast_no_action,False,False,True,False,False,,,
111,0,1,,OK,fast_no_action,False,False,False,False,False,,,
112,0,15,,OK,fast_no_action,False,False,False,False,False,,,
113,0,1,,OK,fast_no_action,False,False,False,False,False,,,
114,0,1,,OK,fast_no_action,False,False,False,False,False,,,
115,0,1,,OK,fast_no_action,False,False,False,False,False,,,
116,0,1,,OK,fast_no_action,False,False,False,False,False,,,
117,0,1,,OK,fast_no_action,False,False,False,False,False,,,
118,0,86,,OK,fast_no_action,False,False,False,True,False,,,
119,0,1,,OK,fast_no_action,False,False,False,False,False,,,
120,0,1,,OK,fast_no_action,False,False,False,False,False,,,
121,0,1,,OK,fast_no_action,False,False,False,False,False,,,
122,0,140,,OK,fast_no_action,False,False,False,False,False,,,
123,0,2,,OK,fast_no_action,False,False,False,False,False,,,
124,0,6,,OK,fast_no_action,False,False,False,False,False,,,
125,0,30,,OK,fast_no_action,False,False,False,False,False,,,
126,0,3,,OK,fast_no_action,False,False,False,False,False,,,
127,0,201,,OK,fast_no_action,False,False,False,False,False,,,
128,0,2,,OK,fast_no_action,False,False,False,False,False,,,
129,0,6,,OK,fast_no_action,False,False,False,False,False,,,
130,0,19,,OK,fast_no_action,False,False,False,False,False,,,
131,0,1,,OK,fast_no_action,False,False,False,False,False,,,
132,0,3,,OK,fast_no_action,False,False,False,False,True,,,
133,0,4,,OK,fast_no_action,False,False,False,False,True,,,
134,0,7,,OK,fast_no_action,False,False,True,False,False,,,
135,0,4,,OK,fast_no_action,False,False,False,False,False,,,
136,0,449,,OK,fast_no_action,False,False,False,False,False,,,
137,0,1,,OK,fast_no_action,False,False,False,False,False,,,
138,0,1,,OK,fast_no_action,False,False,False,False,False,,,
139,0,191,,OK,fast_no_action,False,False,False,False,False,,,
140,0,1,,OK,fast_no_action,False,True,False,False,False,,,
141,0,41,,OK,fast_no_action,False,False,False,False,False,,,
142,0,60,,OK,fast_no_action,False,False,False,False,False,,,
143,0,13,,OK,fast_no_action,False,False,False,False,False,,,
144,0,1,,OK,fast_no_action,False,False,False,False,False,,,
145,0,100,,OK,fast_no_action,False,False,False,False,False,,,
146,0,133,,OK,fast_no_action,False,False,True,False,True,,,
147,0,1,,OK,fast_no_action,False,False,False,False,False,,,
148,0,1,,OK,fast_no_action,False,False,False,False,False,,,
149,0,34,,OK,fast_no_action,False,False,False,False,False,,,
