problem,old_ms,xt_ms,now_ms,status,old_to_now,xt_to_now
114,0.0,1.0,1.4,OK,,0.71
115,0.0,1.0,1.8,OK,,0.56
116,0.0,1.0,1.5,OK,,0.67
117,0.0,1.0,1.6,OK,,0.62
118,0.0,86.0,84.8,OK,,1.01
119,0.0,1.0,1.8,OK,,0.56
120,0.0,1.0,1.5,OK,,0.67
121,0.0,1.0,1.6,OK,,0.62
122,0.0,140.0,1.6,OK,,87.5
123,0.0,2.0,2.4,OK,,0.83
124,0.0,6.0,6.3,OK,,0.95
125,0.0,30.0,30.5,OK,,0.98
126,0.0,3.0,3.7,OK,,0.81
127,0.0,201.0,15.6,OK,,12.88
128,0.0,2.0,2.9,OK,,0.69
129,0.0,6.0,8.0,OK,,0.75
130,0.0,19.0,20.5,OK,,0.93
131,0.0,1.0,1.7,OK,,0.59
132,0.0,3.0,3.6,OK,,0.83
133,0.0,4.0,4.7,OK,,0.85
134,0.0,7.0,7.7,OK,,0.91
135,0.0,4.0,5.4,OK,,0.74
136,0.0,449.0,60.1,OK,,7.47
137,0.0,1.0,1.5,OK,,0.67
138,0.0,1.0,1.6,OK,,0.62
139,0.0,191.0,0.7,OK,,272.86
140,0.0,1.0,1.5,OK,,0.67
141,0.0,41.0,40.3,OK,,1.02
142,0.0,60.0,59.9,OK,,1.0
143,0.0,13.0,13.0,OK,,1.0
144,0.0,1.0,9.9,OK,,0.1
145,0.0,100.0,0.8,OK,,125.00
146,0.0,133.0,93.8,OK,,1.42
147,0.0,1.0,1.6,OK,,0.62
148,0.0,1.0,1.7,OK,,0.59
149,0.0,34.0,36.0,OK,,0.94
150,0.0,61.0,64.4,OK,,0.95
151,0.0,1.0,10.0,OK,,0.1
152,0.0,189.0,68.3,OK,,2.77
153,0.0,1012.0,36.0,OK,,28.11
154,0.0,3558.0,71.7,OK,,49.62
155,0.0,1226.0,51.0,OK,,24.04
156,0.0,4.0,13.3,OK,,0.3
157,0.0,1.0,1.6,OK,,0.62
158,0.0,0.0,1.5,OK,,
159,0.0,14.0,15.3,OK,,0.92
160,0.0,1.0,1.8,OK,,0.56
161,0.0,33.0,34.6,OK,,0.95
162,0.0,1.0,1.5,OK,,0.67
163,0.0,1.0,1.8,OK,,0.56
164,0.0,0.0,1.5,OK,,
165,0.0,445.0,66.7,OK,,6.67
166,0.0,97.0,12.5,OK,,7.76
167,0.0,275.0,193.7,OK,,1.42
168,0.0,2.0,10.8,OK,,0.19
169,0.0,1.0,1.5,OK,,0.67
170,0.0,135.0,143.3,OK,,0.94
171,0.0,1.0,11.0,OK,,0.09
172,0.0,13.0,12.8,OK,,1.02
173,0.0,1.0,1.6,OK,,0.62
174,0.0,3.0,5.0,OK,,0.6
175,1.0,1.0,1.6,OK,0.62,0.62
176,0.0,1.0,1.5,OK,,0.67
177,0.0,132.0,135.0,OK,,0.98
178,0.0,1.0,10.2,OK,,0.1
179,0.0,57.0,60.1,OK,,0.95
180,0.0,78.0,79.9,OK,,0.98
181,0.0,2.0,10.9,OK,,0.18
182,0.0,170.0,5.8,OK,,29.31
183,0.0,2.0,2.6,OK,,0.77
184,0.0,3.0,5.0,OK,,0.6
