problem,time_ms,ipc,cache_miss_pct,branch_miss_pct,llc_misses,l1_misses,classification,top_func,top_func_pct
415,7278,1.44,46.6,0.8,28716115,126243798,MODERATE-IPC | HIGH-CACHE-MISS,p415::main,92.8
693,7149,0.55,27.1,0.6,51993238,304418321,MEMORY-BOUND,p693::helper,92.5
611,7122,0.62,58.3,0.6,11659513,175319191,MEMORY-BOUND | HIGH-CACHE-MISS,p611::main,100.0
559,7090,2.81,0.6,0.0,113219,1123270907,COMPUTE-EFFICIENT,p559::main,100.0
655,7057,1.27,68.6,1.7,33669227,636186306,MODERATE-IPC | HIGH-CACHE-MISS,p655::num_palindromes,96.2
797,7001,0.54,78.2,5.1,173755375,365771330,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,p797::main,99.8
540,6993,0.90,77.1,0.7,125169605,276361248,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
785,6963,0.66,35.2,3.8,7888,33142,STALLED | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
505,6874,2.58,32.8,4.1,50252,494832,COMPUTE-EFFICIENT | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
468,6791,0.61,68.4,9.4,97907929,510646810,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
417,6755,0.43,51.9,6.3,145070002,449877560,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
370,6739,0.73,39.1,0.4,2398236,10946991,MEMORY-BOUND | HIGH-CACHE-MISS,,0.0
585,6709,0.77,68.1,4.9,48218578,167984826,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
534,6556,1.57,72.5,2.8,17557427,89790130,COMPUTE-BOUND | HIGH-CACHE-MISS,,0.0
657,6424,0.82,84.3,0.9,7462490,15938801,MODERATE-IPC | HIGH-CACHE-MISS,,0.0
445,6383,0.76,62.6,6.1,15228487,35487550,MEMORY-BOUND | HIGH-CACHE-MISS | BRANCH-HEAVY,,0.0
